Student_ID,Age,10th_Percentage,12th_Percentage,12th_Stream,Degree,CGPA,Programming,Communication,Leadership,Creativity,Problem_Solving,Technology_Interest,Medical_Interest,Finance_Interest,Government_Interest,Business_Interest,Teaching_Interest,Law_Interest,Physical_Fitness,Personality,Hobby,Career
72,17,56,94,Commerce,BCom,6.67,4,4,4,3,4,3,2,5,4,5,4,5,3,Leadership,Coding,Bank Manager
73,22,73,99,Science_PCB,BSc Microbiology,8.3,5,4,5,3,4,5,5,3,4,4,3,5,2,Helping,Public Speaking,Medical Researcher
74,18,77,81,Commerce,CA,6.24,2,5,5,2,5,2,2,5,2,5,3,3,3,Helping,Drawing,Bank Manager
75,19,88,80,Science_PCM,BTech,9.88,5,4,3,2,4,5,5,5,5,5,4,2,5,Helping,Public Speaking,AI Engineer
76,19,60,81,Commerce,BCom,8.78,3,2,3,3,4,3,2,5,5,3,3,5,3,Analytical,Music,Financial Analyst
77,17,83,75,Science_PCB,BSc Microbiology,7.23,3,5,4,5,2,2,5,2,2,5,5,2,5,Helping,Drawing,Medical Researcher
78,20,64,59,Science_PCB,BSc Microbiology,6.61,4,4,3,4,2,5,5,2,2,5,2,5,4,Creative,Public Speaking,Medical Researcher
79,18,50,52,Science_PCB,MBBS,7.48,4,4,3,5,3,2,5,3,3,5,4,4,3,Leadership,Sports,Doctor
80,19,51,65,Arts,BA,8.74,2,4,5,4,5,5,4,4,2,5,2,4,4,Creative,Music,Entrepreneur
81,21,68,57,Commerce,BCom,9.5,2,5,3,2,4,4,5,5,3,3,2,4,5,Analytical,Drawing,Accountant
82,18,77,84,Science_PCB,BSc Microbiology,7.79,5,5,5,5,2,4,5,4,3,4,2,2,2,Creative,Social Work,Medical Researcher
83,19,64,72,Science_PCM,BTech,9.79,3,5,3,3,4,5,5,2,5,5,5,4,2,Helping,Social Work,Civil Engineer
84,18,81,69,Commerce,BA,7.2,4,3,5,3,5,2,2,5,4,5,3,3,3,Research,Social Work,Entrepreneur
85,21,74,50,Science_PCM,BTech,6.08,2,4,5,3,4,2,5,3,5,3,3,4,5,Research,Reading,Defence Officer
86,20,55,56,Arts,BA Economics,8.12,4,5,2,3,2,2,5,5,5,2,4,4,4,Helping,Reading,Government Officer
87,21,96,79,Science_PCM,BTech,8.31,4,5,3,5,4,4,3,3,5,5,4,4,5,Analytical,Public Speaking,Civil Engineer
88,25,77,68,Science_PCM,BTech,6.87,2,2,4,3,3,3,3,2,4,4,2,3,3,Analytical,Music,Civil Engineer
89,19,59,50,Science_PCM,BCA,9.48,5,2,2,2,5,5,4,3,4,3,2,2,4,Creative,Social Work,Software Developer
90,23,89,86,Commerce,BBA,7.63,5,5,5,5,4,5,3,5,5,5,4,5,3,Leadership,Writing,Marketing Manager
91,20,54,94,Science_PCB,BSc Data Science,7.58,3,5,2,4,5,4,5,2,2,4,5,2,3,Helping,Writing,Research Scientist
92,23,70,73,Science_PCB,BDS,6.72,5,5,4,4,5,2,5,2,5,3,3,3,2,Analytical,Social Work,Doctor
93,20,88,98,Commerce,BBA,7.55,5,5,2,3,5,3,4,5,4,5,5,4,2,Helping,Music,Financial Analyst
94,22,89,54,Arts,LLB,6.53,2,5,3,2,2,3,2,3,4,3,5,5,3,Creative,Drawing,Lawyer
95,25,86,54,Science_PCB,BSc Microbiology,7.9,3,4,3,4,4,5,5,2,2,3,3,5,2,Creative,Social Work,Medical Researcher
96,22,84,75,Science_PCM,BTech,9.91,5,4,5,2,2,4,5,2,4,3,2,4,5,Creative,Coding,Civil Engineer
97,25,85,74,Commerce,BA Economics,6.1,3,4,2,3,4,2,2,2,5,5,2,4,2,Creative,Public Speaking,Government Officer
98,19,55,91,Commerce,BBA,6.54,5,4,5,5,4,5,2,3,2,5,2,5,5,Creative,Social Work,Marketing Manager
99,25,89,77,Commerce,BBA,9.19,2,2,5,5,4,4,4,5,3,5,3,3,4,Leadership,Drawing,Marketing Manager
100,23,52,68,Commerce,BCom,8.46,3,2,3,5,4,5,3,5,5,3,2,2,2,Helping,Music,Financial Analyst
101,21,87,52,Commerce,CA,6.42,3,3,4,2,4,5,2,5,4,2,3,2,5,Analytical,Drawing,Bank Manager
102,19,82,83,Arts,BEd,7.93,4,5,2,4,5,4,4,3,3,4,5,4,5,Creative,Coding,Teacher
103,20,62,60,Commerce,BBA,9.59,3,4,3,4,5,3,5,5,4,3,5,3,3,Research,Writing,Bank Manager
104,21,60,95,Science_PCM,BCA,7.76,5,3,2,5,4,5,3,4,4,5,4,3,3,Analytical,Social Work,Data Scientist
105,21,76,82,Science_PCM,BSc,9.0,2,5,4,4,5,2,2,4,5,4,2,2,5,Analytical,Social Work,Research Scientist
106,19,58,88,Arts,BBA,6.66,3,3,5,5,2,3,5,4,5,5,2,3,3,Creative,Music,Entrepreneur
107,21,74,52,Commerce,BBA,7.16,4,3,5,5,4,4,4,5,3,5,3,3,5,Creative,Reading,Marketing Manager
108,22,93,89,Commerce,BBA,8.37,2,2,4,3,5,2,4,5,2,3,3,5,5,Creative,Coding,Financial Analyst
109,22,98,61,Science_PCB,BSc Nursing,6.99,2,4,3,3,5,2,5,4,3,3,5,5,2,Helping,Sports,Nurse
110,25,85,94,Science_PCM,BFA,6.26,3,2,4,5,4,4,5,2,3,5,5,5,4,Helping,Coding,Designer
111,21,73,53,Science_PCM,BTech,7.86,5,5,3,4,5,5,2,4,4,5,4,4,4,Creative,Social Work,Software Developer
112,20,60,75,Science_PCB,BDS,7.16,2,5,3,2,2,3,5,2,5,2,3,5,5,Leadership,Music,Doctor
113,17,69,98,Commerce,BA,8.36,3,5,5,4,3,4,4,2,4,5,5,5,3,Creative,Music,Entrepreneur
114,21,61,72,Commerce,BBA,7.12,5,5,4,2,5,2,3,5,4,3,3,2,5,Helping,Social Work,Bank Manager
115,21,73,69,Science_PCB,BSc Biotechnology,6.54,3,5,3,2,5,4,5,3,3,5,5,5,4,Helping,Writing,Medical Researcher
116,25,93,92,Commerce,BA Economics,6.59,3,5,3,2,5,4,4,4,5,2,3,4,5,Analytical,Drawing,Government Officer
117,24,75,51,Science_PCM,BTech,7.15,5,4,3,2,4,5,2,3,5,4,5,4,5,Research,Music,Data Scientist
118,19,89,82,Commerce,BBA,6.51,3,4,5,3,3,2,2,3,4,5,4,5,5,Helping,Drawing,Marketing Manager
119,21,59,53,Science_PCB,BSc Nursing,7.57,2,4,4,5,4,2,5,5,2,4,2,3,5,Helping,Coding,Nurse
120,21,59,91,Arts,BEd,6.63,5,5,2,3,3,4,2,5,5,4,5,3,4,Helping,Public Speaking,Teacher
121,21,68,90,Science_PCM,BTech,6.65,5,5,3,3,5,5,4,4,3,2,2,3,3,Research,Drawing,Software Developer
122,19,55,83,Science_PCM,BSc Data Science,9.67,5,4,5,3,4,5,4,5,2,5,4,3,5,Creative,Coding,Data Scientist
123,25,78,87,Science_PCM,BTech,8.13,3,3,5,2,4,3,5,3,3,4,5,3,2,Helping,Coding,Civil Engineer
124,23,93,56,Arts,BA,8.12,3,5,5,3,3,5,3,4,4,5,5,5,5,Analytical,Coding,Teacher
125,21,94,70,Science_PCB,BHMS,9.94,4,5,3,5,4,2,5,4,2,2,5,3,5,Helping,Social Work,Doctor
126,19,66,71,Arts,BA Economics,6.31,3,4,3,2,5,3,2,3,5,3,4,5,3,Analytical,Coding,Government Officer
127,23,96,69,Science_PCB,BSc Biotechnology,8.96,4,4,2,4,3,4,5,4,4,4,2,5,4,Analytical,Public Speaking,Medical Researcher
128,22,75,67,Commerce,BBA,8.13,5,3,5,5,3,2,2,4,4,5,3,5,2,Helping,Public Speaking,Marketing Manager
129,23,55,91,Commerce,BBA,9.27,5,4,4,4,4,5,5,5,5,2,3,3,5,Research,Music,Bank Manager
130,21,79,55,Science_PCM,BSc Data Science,9.23,5,4,5,2,5,5,4,5,2,4,2,5,3,Research,Social Work,Data Scientist
131,24,51,98,Arts,BEd,6.84,2,5,3,2,5,5,5,5,5,4,5,4,2,Creative,Music,Teacher
132,20,69,84,Commerce,CA,8.83,3,5,2,5,4,2,2,5,5,5,3,5,3,Analytical,Drawing,Accountant
133,22,96,83,Science_PCM,BTech,8.17,4,3,5,4,3,2,5,3,5,2,3,2,3,Creative,Writing,Civil Engineer
134,22,59,79,Commerce,CA,8.45,2,3,4,5,5,3,2,5,3,2,4,3,5,Leadership,Drawing,Bank Manager
135,19,64,74,Science_PCM,BTech,8.75,2,3,2,3,5,5,2,3,3,5,4,4,4,Creative,Music,Civil Engineer
136,23,66,83,Science_PCB,BSc Data Science,8.73,5,2,5,4,5,4,5,5,5,2,4,3,2,Creative,Coding,Research Scientist
137,25,56,93,Science_PCM,BDes,8.56,3,4,3,5,2,5,5,4,2,2,3,4,3,Research,Social Work,Designer
138,23,97,53,Commerce,BBA,6.43,5,2,5,2,3,4,3,2,5,5,4,2,4,Research,Coding,Marketing Manager
139,19,55,69,Science_PCM,BTech,6.18,2,4,3,5,5,2,3,5,5,3,2,3,5,Leadership,Social Work,Defence Officer
140,19,53,74,Science_PCB,BSc Nursing,6.75,4,5,5,4,2,5,5,4,3,5,5,2,4,Helping,Music,Nurse
141,21,74,88,Science_PCM,BSc,6.14,4,4,2,4,5,2,3,4,2,2,3,3,4,Analytical,Drawing,Research Scientist
142,22,85,99,Arts,BA,6.88,2,4,3,3,2,4,4,2,5,3,4,3,5,Analytical,Writing,Defence Officer
143,19,64,94,Arts,LLB,6.07,2,5,5,2,2,5,4,5,3,3,2,5,5,Leadership,Writing,Lawyer
144,25,63,80,Commerce,BA,8.56,2,4,5,4,5,2,4,3,4,5,2,2,2,Creative,Writing,Entrepreneur
145,17,86,61,Science_PCM,BTech,7.12,5,3,3,2,4,5,5,2,4,4,3,5,4,Leadership,Reading,Software Developer
146,23,64,70,Science_PCM,BTech,9.89,5,2,3,3,3,3,5,2,2,2,2,4,4,Leadership,Social Work,Civil Engineer
147,22,58,71,Science_PCM,BDes,6.39,2,5,4,5,3,2,4,2,3,5,4,2,3,Research,Music,Designer
148,20,74,93,Science_PCM,BSc,7.04,3,3,4,4,5,2,3,5,3,3,3,4,3,Research,Drawing,Research Scientist
149,22,79,95,Commerce,BBA,6.26,3,3,5,3,2,2,5,2,2,5,4,5,3,Helping,Social Work,Entrepreneur
150,21,86,52,Science_PCM,BTech,6.16,4,2,2,5,3,5,3,5,5,4,4,4,3,Helping,Writing,Civil Engineer
151,21,50,64,Commerce,CA,6.88,4,5,2,4,4,4,3,5,4,3,5,5,4,Creative,Drawing,Accountant
152,24,96,56,Arts,BDes,7.89,3,2,5,5,2,2,2,5,2,4,2,5,2,Analytical,Social Work,Designer
153,23,55,58,Commerce,BBA,7.83,3,5,4,4,4,3,3,5,2,2,3,2,2,Helping,Coding,Financial Analyst
154,19,66,86,Commerce,BBA,9.11,2,3,5,2,5,3,2,5,2,2,5,2,2,Analytical,Reading,Financial Analyst
155,17,86,55,Science_PCB,BSc Nursing,8.46,3,5,3,3,2,4,5,5,4,4,3,2,3,Research,Writing,Nurse
156,23,70,66,Science_PCM,BCA,8.36,5,2,5,4,4,5,5,2,4,3,2,3,2,Analytical,Reading,Data Scientist
157,18,94,93,Commerce,BCom,6.86,3,5,5,2,4,2,3,5,4,5,3,3,4,Analytical,Public Speaking,Bank Manager
158,24,76,67,Science_PCB,MBBS,6.57,4,5,4,5,3,5,5,2,5,3,5,3,3,Research,Music,Doctor
159,17,99,62,Commerce,BCom,9.73,5,3,3,2,4,5,4,5,4,3,3,3,2,Research,Reading,Financial Analyst
160,20,67,55,Science_PCM,BCA,9.48,5,3,4,4,5,5,3,2,4,3,5,4,3,Research,Reading,Software Developer
161,20,70,68,Science_PCM,BCA,8.26,5,2,5,3,5,5,3,3,5,2,5,5,2,Creative,Public Speaking,AI Engineer
162,20,65,64,Science_PCB,BSc Nursing,7.28,3,5,4,4,3,2,5,3,2,2,3,5,5,Research,Drawing,Nurse
163,24,84,72,Science_PCM,BSc,8.37,5,3,3,4,5,4,5,5,5,5,2,3,2,Research,Music,Research Scientist
164,22,94,72,Arts,BA,9.51,2,5,3,2,3,2,2,2,5,5,5,3,3,Helping,Music,Teacher
165,21,74,81,Commerce,CA,8.37,4,2,4,4,5,2,2,5,3,5,5,5,4,Leadership,Coding,Accountant
166,25,78,78,Commerce,BA,7.01,5,4,2,3,4,4,5,2,5,3,5,3,3,Leadership,Public Speaking,Government Officer
167,25,82,60,Science_PCM,BFA,7.74,4,4,3,5,4,5,4,5,4,3,4,3,5,Creative,Writing,Designer
168,23,64,85,Arts,BA Economics,9.49,4,4,4,5,3,2,2,3,5,5,2,3,3,Research,Music,Government Officer
169,25,78,94,Science_PCB,BAMS,8.43,2,5,3,5,4,5,5,4,5,4,5,2,3,Analytical,Social Work,Doctor
170,20,70,61,Science_PCM,BTech,7.06,5,3,2,5,5,5,3,3,3,5,3,3,3,Leadership,Music,Data Scientist
171,22,79,58,Science_PCM,BTech,9.92,5,2,3,3,4,5,5,3,4,4,2,3,3,Leadership,Sports,Data Scientist
172,22,83,71,Science_PCM,BCA,6.19,5,2,5,5,5,5,4,5,2,2,3,5,3,Helping,Social Work,Software Developer
173,22,63,72,Science_PCM,BDes,8.56,2,5,3,5,2,3,5,4,5,3,2,3,3,Helping,Drawing,Designer
174,19,77,85,Science_PCB,BSc Nursing,6.93,3,4,4,3,5,4,5,2,4,3,2,5,2,Analytical,Drawing,Nurse
175,20,52,88,Commerce,BA,8.32,3,5,5,2,4,5,3,4,2,5,2,4,5,Research,Music,Entrepreneur
176,18,70,89,Science_PCM,BCA,8.38,5,4,5,4,4,5,5,2,2,5,3,3,3,Leadership,Music,Data Scientist
177,19,58,66,Science_PCB,BSc Nursing,6.25,2,5,4,4,3,2,5,3,3,5,5,2,4,Creative,Coding,Nurse
178,23,71,90,Science_PCM,BSc Data Science,8.91,3,4,4,4,5,3,5,5,4,5,4,5,2,Creative,Reading,Research Scientist
179,18,59,61,Arts,BA Economics,6.58,4,5,2,4,5,5,4,5,5,4,5,3,4,Creative,Social Work,Government Officer
180,24,51,73,Commerce,BBA,6.35,5,3,5,2,5,5,4,3,3,5,3,5,5,Research,Drawing,Marketing Manager
181,19,97,65,Commerce,BA,7.68,3,4,2,2,2,4,5,2,5,2,4,3,4,Creative,Writing,Government Officer
182,17,81,79,Commerce,BCom,9.5,3,5,5,4,5,4,3,5,5,3,2,2,4,Analytical,Drawing,Bank Manager
183,21,86,71,Commerce,BBA,7.1,3,5,5,3,5,4,3,4,4,5,3,2,2,Helping,Coding,Entrepreneur
184,24,78,50,Science_PCM,BTech,6.8,5,3,2,2,5,5,5,4,4,2,3,4,3,Helping,Public Speaking,Data Scientist
185,22,64,62,Commerce,BA,9.1,3,5,5,4,2,4,5,5,5,5,2,2,4,Research,Music,Entrepreneur
186,18,81,80,Commerce,BBA,8.65,3,4,2,4,4,2,3,5,4,2,2,2,4,Helping,Public Speaking,Financial Analyst
187,23,80,99,Science_PCM,BTech,9.71,3,5,4,5,2,2,3,5,2,5,4,2,4,Creative,Music,Civil Engineer
188,17,74,99,Arts,BA,7.89,3,4,4,5,4,5,2,5,5,4,2,5,5,Creative,Reading,Defence Officer
189,24,72,88,Commerce,CMA,6.72,4,5,3,4,4,5,4,5,2,5,5,3,3,Analytical,Public Speaking,Financial Analyst
190,24,58,68,Commerce,BBA,8.95,2,2,5,4,4,3,2,5,4,5,3,2,3,Analytical,Social Work,Financial Analyst
191,20,69,54,Arts,BA,9.27,2,2,4,3,2,3,3,4,5,4,2,4,5,Research,Public Speaking,Defence Officer
192,20,85,58,Commerce,BCom,7.06,2,3,5,3,4,4,3,5,2,2,3,3,4,Creative,Sports,Accountant
193,17,84,78,Science_PCM,BDes,6.53,3,3,3,5,2,3,4,3,5,4,2,5,3,Helping,Reading,Designer
194,21,52,83,Science_PCB,BHMS,7.26,3,5,5,5,5,2,5,2,2,4,5,2,2,Creative,Public Speaking,Doctor
195,23,73,69,Science_PCB,BSc,8.08,4,5,3,4,5,2,3,5,5,2,3,4,3,Leadership,Coding,Research Scientist
196,21,65,97,Science_PCB,BSc Biotechnology,8.85,3,5,2,3,3,3,5,5,2,4,5,5,4,Analytical,Drawing,Medical Researcher
197,23,78,93,Science_PCB,BSc Biotechnology,8.47,5,5,2,4,5,2,5,3,5,4,2,2,5,Helping,Writing,Medical Researcher
198,19,62,93,Arts,BTech,9.47,5,2,4,4,5,5,4,4,5,5,4,5,5,Research,Social Work,Defence Officer
199,25,96,98,Science_PCB,BAMS,9.53,2,5,2,2,5,5,5,2,3,2,4,5,3,Leadership,Drawing,Doctor
200,24,70,69,Commerce,BCom,6.1,2,5,5,4,5,2,2,5,5,2,2,4,5,Creative,Reading,Financial Analyst
201,24,92,63,Science_PCB,BSc Data Science,6.48,3,3,4,4,5,4,3,5,3,5,2,2,2,Helping,Music,Research Scientist
202,22,84,53,Science_PCB,BSc Microbiology,7.92,4,4,4,3,3,3,5,5,4,4,4,2,2,Analytical,Sports,Medical Researcher
203,20,68,89,Science_PCB,BHMS,9.34,2,5,3,3,2,4,5,2,5,4,5,2,3,Analytical,Coding,Doctor
204,21,95,62,Science_PCM,BTech,7.67,5,4,4,3,5,5,4,2,3,4,3,4,5,Creative,Social Work,AI Engineer
205,18,62,64,Commerce,BCom,8.04,2,5,4,4,4,3,3,5,2,5,2,3,3,Leadership,Public Speaking,Accountant
206,23,93,79,Science_PCM,BCA,7.56,5,5,4,2,5,5,4,3,3,4,4,4,3,Research,Sports,AI Engineer
207,20,61,86,Science_PCM,BSc Data Science,8.74,4,2,2,4,5,5,2,5,5,4,4,4,4,Leadership,Sports,Research Scientist
208,25,89,87,Arts,LLB,9.64,3,5,4,4,4,5,2,3,4,5,5,5,2,Research,Coding,Lawyer
209,23,93,99,Science_PCB,BSc Nursing,6.37,4,5,4,4,4,2,5,3,4,2,5,3,3,Leadership,Public Speaking,Nurse
210,20,58,77,Science_PCB,BSc,8.98,3,3,5,4,5,4,3,2,5,5,3,3,4,Analytical,Sports,Research Scientist
211,18,96,90,Commerce,BBA,8.91,5,2,5,2,5,2,4,3,5,5,5,5,4,Research,Public Speaking,Marketing Manager
212,19,90,60,Science_PCB,BSc Nursing,9.44,5,5,3,3,3,5,5,5,2,4,4,2,5,Creative,Sports,Nurse
213,25,56,77,Science_PCM,BSc Data Science,6.84,5,3,3,5,4,5,4,2,4,5,2,4,2,Creative,Coding,Data Scientist
214,17,50,73,Science_PCB,BSc Microbiology,9.57,2,5,4,5,4,5,5,4,3,5,5,2,3,Research,Coding,Medical Researcher
